timestamp,load-1m,load-5m,load-15m,sys-mem-swap-total,sys-mem-swap-free,sys-mem-free,sys-mem-cache,sys-mem-buffered,sys-mem-available,sys-mem-total,sys-fork-rate,sys-interrupt-rate,sys-context-switch-rate,sys-thermal,disk-io-time,disk-bytes-read,disk-bytes-written,disk-io-read,disk-io-write,cpu-iowait,cpu-system,cpu-user,server-up
2460,0.0,0.03,0.0,16952324096,16926896128,508530688,5084282880,870989824,6775427072,8080035840,1.1,1017.15,2147.4,0.05,0.0014000000000123,0.0,20684.800000000003,0.0,1.8,0.0029999999999745,0.0100000000000363,0.012999999999738,2
2490,0.0,0.02,0.0,16952324096,16926896128,503443456,5084368896,870993920,6770446336,8080035840,1.4500000000000002,1040.5,2075.8,0.0,0.0041999999999461,0.0,96051.2,0.0,17.3,0.004000000000019,0.0149999999998726,0.0175000000001091,2
2520,0.06,0.04,0.0,16952324096,16926896128,489369600,5088296960,870993920,6760206336,8080035840,13.25,1420.35,4103.400000000001,1.65,0.0021999999999934,0.0,241254.4,0.0,6.300000000000001,0.0024999999999408,0.0780000000001564,0.1275000000003274,2
2550,0.04,0.03,0.0,16952324096,16926896128,502824960,5088534528,870998016,6773968896,8080035840,2.0,1102.2,2421.55,1.55,0.0019999999999527,0.0,54476.8,0.0,3.9,0.0025000000000545,0.0239999999999781,0.0185000000003128,2
2580,0.02,0.03,0.0,16952324096,16926896128,493772800,5088731136,871002112,6765125632,8080035840,1.8,1071.9,2205.8,1.6,0.0024000000000341,0.0,34406.4,0.0,3.0500000000000003,0.0039999999999736,0.0289999999999054,0.0229999999995925,2
2610,0.01,0.02,0.0,16952324096,16926896128,493699072,5088968704,871006208,6765301760,8080035840,1.75,1046.5,2130.4,0.0,0.0018000000000029,0.0,36864.0,0.0,2.3000000000000003,0.002500000000009,0.0210000000000036,0.0190000000002328,2
2640,0.01,0.02,0.0,16952324096,16926896128,491008000,5089009664,871006208,6762651648,8080035840,1.05,983.25,1927.2,1.65,0.0015999999999621,0.0,15155.2,0.0,0.8,0.0024999999999863,0.0110000000000582,0.0144999999994979,2
2670,0.0,0.02,0.0,16952324096,16926896128,492044288,5089050624,871006208,6763728896,8080035840,0.9,965.2,1860.3,0.1,0.0015999999999621,0.0,12697.6,0.0,0.6000000000000001,0.0015000000000327,0.0099999999999454,0.0114999999999781,2
2700,0.0,0.02,0.0,16952324096,16926896128,492019712,5089079296,871006208,6763732992,8080035840,0.9,980.15,1962.45,1.5,0.0020000000000436,0.0,16179.2,0.0,0.8500000000000001,0.0034999999999627,0.0094999999998435,0.0134999999998399,2
2730,0.0,0.01,0.0,16952324096,16926896128,492044288,5089116160,871010304,6763798528,8080035840,0.9,966.05,1867.55,1.6,0.0015999999999621,0.0,19251.2,0.0,2.0500000000000003,0.0019999999999754,0.0155000000001564,0.0114999999999781,2
